Daiamter (m),R4-RQ4 MBL (N),R3S MBL (N),R3 MBL (N),RQ3-API MBL (N),R5 MBL (N),Weight Stud (kg/m),Weight Studless (kg/m)
0.019,420000,382000,342000,324000,491000,8,7
0.0205,488000,443000,397000,376000,570000,9,8
0.022,560000,509000,456000,431000,654000,11,10
0.024,664000,604000,541000,511000,776000,13,12
0.026,776000,706000,632000,598000,907000,15,14
0.028,897000,815000,730000,691000,1048000,17,16
0.03,1026000,932000,835000,790000,1198000,20,18
0.032,1163000,1057000,946000,895000,1358000,22,20
0.034,1308000,1188000,1064000,1007000,1527000,25,23
0.036,1460000,1327000,1188000,1124000,1705000,28,26
0.038,1621000,1473000,1319000,1248000,1893000,32,29
0.04,1789000,1625000,1456000,1377000,2089000,35,32
0.042,1964000,1785000,1599000,1513000,2294000,39,35
0.044,2147000,1951000,1748000,1654000,2508000,42,39
0.046,2338000,2124000,1903000,1800000,2730000,46,42
0.048,2535000,2304000,2063000,1952000,2961000,50,46
0.05,2740000,2490000,2230000,2110000,3200000,55,50
0.052,2952000,2682000,2402000,2273000,3447000,59,54
0.054,3170000,2881000,2580000,2441000,3703000,64,58
0.056,3396000,3086000,2764000,2615000,3966000,69,63
0.058,3628000,3297000,2953000,2794000,4237000,74,67
0.06,3867000,3514000,3147000,2978000,4516000,79,72
0.062,4112000,3737000,3347000,3166000,4802000,84,77
0.064,4364000,3965000,3551000,3360000,5096000,90,82
0.066,4621000,4200000,3761000,3559000,5397000,95,87
0.068,4885000,4440000,3976000,3762000,5706000,101,92
0.07,5156000,4685000,4196000,3970000,6021000,107,98
0.073,5572000,5064000,4535000,4291000,6507000,117,107
0.076,6001000,5454000,4884000,4621000,7009000,126,116
0.078,6295000,5720000,5123000,4847000,7351000,133,122
0.081,6745000,6130000,5490000,5194000,7877000,144,131
0.084,7208000,6550000,5866000,5550000,8418000,155,141
0.087,7682000,6981000,6252000,5916000,8971000,166,151
0.09,8167000,7422000,6647000,6289000,9539000,177,162
0.092,8497000,7722000,6916000,6544000,9924000,185,169
0.095,9001000,8180000,7326000,6932000,10512000,198,181
0.097,9343000,8490000,7604000,7195000,10911000,206,188
0.1,9864000,8964000,8028000,7596000,11520000,219,200
0.102,10217000,9285000,8315000,7868000,11932000,228,208
0.105,10754000,9773000,8753000,8282000,12560000,241,221
0.107,11118000,10103000,9048000,8561000,12984000,251,229
0.111,11856000,10775000,9650000,9130000,13847000,270,246
0.114,12420000,11287000,10109000,9565000,14506000,285,260
0.117,12993000,11807000,10574000,10005000,15174000,300,274
0.12,13573000,12334000,11047000,10452000,15852000,315,288
0.122,13964000,12690000,11365000,10753000,16308000,326,298
0.124,14358000,13048000,11686000,11057000,16768000,337,308
0.127,14955000,13591000,12171000,11516000,17466000,353,323
0.13,15559000,14139000,12663000,11981000,18171000,370,338
0.132,15965000,14508000,12993000,12294000,16538000,382,348
0.137,16992000,15441000,13829000,13085000,19844000,411,375
0.142,18033000,16388000,14677000,13887000,21061000,442,403
0.147,19089000,17347000,15536000,14700000,22294000,473,432
0.152,20156000,18317000,16405000,15522000,23540000,506,462
0.157,21234000,19297000,17282000,16352000,24799000,540,493
0.162,22320000,20284000,18166000,17188000,26068000,575,525
0.165,22976000,20879000,18699000,17693000,26833000,596,545
0.168,23633000,21477000,19234000,18199000,27601000,618,564
0.171,24292000,22076000,19771000,18707000,28371000,640,585
0.175,25174000,22877000,20488000,19386000,29400000,671,613
0.178,25836000,23479000,21027000,19896000,30173000,694,634
0.18,26278000,23880000,21387000,20236000,30689000,710,648
0.185,27383000,24884000,22286000,21087000,31980000,750,685
