max_tension_1,mean_tension_1,max_tension_2,mean_tension_2,max_tension_3,mean_tension_3,max_offset,mean_offset
-11505.29,-525.25934,-55903.895,-324.61118,-55903.883,-324.61533,-262.93967,-55.16996
-11586.84,-532.20764,-56285.17,-330.59506,-56285.16,-330.59927,-269.2735,-55.21547
-11342.534,-511.39185,-55142.945,-312.66846,-55142.93,-312.67258,-259.5864,-54.359104
-11276.062,-505.72815,-54832.16,-307.79086,-54832.145,-307.79498,-258.62885,-53.996563
39571.62,3826.6953,182901.52,3423.2993,182901.48,3423.3127,1291.5994,166.77696
-12088.845,-574.98047,-58632.25,-367.43106,-58632.234,-367.43542,-284.18774,-57.356785
-11968.717,-564.7451,-58070.605,-358.61636,-58070.59,-358.6207,-280.6572,-56.841896
105557.016,9448.913,491410.22,8265.162,491410.1,8265.198,3572.7075,424.03824
-11810.492,-551.26373,-57330.84,-347.0062,-57330.824,-347.01047,-276.0833,-56.157513
14682.745,1706.0651,66535.875,1597.009,66535.86,1597.0139,483.22824,62.123905
100069.11,8981.321,465752.03,7862.4717,465751.9,7862.5063,3414.637,399.04993
23387.955,2447.7834,107236.28,2235.778,107236.25,2235.786,770.90704,98.345024
-6296.8354,-81.47834,-31552.244,57.573734,-31552.236,57.57136,-130.99329,-31.053694
-8202.168,-243.82019,-40460.453,-82.235344,-40460.44,-82.23837,-171.57672,-40.425854
6071.911,972.3879,26276.701,965.16504,26276.695,965.16693,228.08078,23.930132
-11382.845,-514.8265,-55331.414,-315.6264,-55331.402,-315.63052,-263.11493,-54.351994
-11222.999,-501.20703,-54584.07,-303.89728,-54584.06,-303.90137,-257.72476,-53.718197
-11482.509,-523.31824,-55797.38,-322.93945,-55797.367,-322.94363,-262.79364,-55.030563
30645.424,3066.1484,141167.9,2768.315,141167.88,2768.3254,1067.9336,123.23057
-1507.6753,326.57706,-9160.962,408.9917,-9160.96,408.991,7.4795365,-10.037046
-11529.869,-527.3536,-56018.812,-326.41473,-56018.8,-326.4189,-267.2961,-54.99425
